Referencia;Peso(Kg/m);d(mm);bf(mm);tw(mm);tf(mm);r(mm);dint(mm);T(mm);A(cm2);Apint(m2/m); Amasa(m2/t);Ixx(cm4);Sx(cm3);Zx(cm3);rx(cm);Av(cm2);Iyy(cm4);Sy(cm3);Zy(cm3);ry(cm);Ss(cm);J(cm4);Cw(cm6)
W10x60;89;260;256;10.7;17.3;13;225;199;114;1.5;16.74;14260;1097;1226;11.17;31.92;4840;378.1;574.5;6.5;6;103.9;712300
W10x54;80;256;255;9.4;15.6;13;225;199;102;1.49;18.58;12570;982.4;1090;11.09;28.1;4313;338.3;513.2;6.4;5.5;75.94;622800
W10x49;73;253;254;8.6;14.2;13;225;199;92.9;1.482;20.32;11280;891.8;985.6;11.01;25.68;3880;305.5;463.2;6.4;5.2;57.72;552900
W10x45;67;257;204;8.9;15.7;13;225;199;85.8;1.289;19.18;10360;806.5;902;11;27.01;2223;218;332.2;5;5.5;62.72;323300
W10x39;58;252;203;8;13.5;13;225;199;74.2;1.277;21.9;8736;693.3;770.7;10.84;24.04;1883;185.6;282.7;5;5;41.15;267600
W10x33;49.1;247;202;7.4;11;13;225;199;62.6;1.264;25.74;7069;572.3;633.9;10.63;21.77;1512;149.7;228.4;4.9;4.4;24.24;210400
W10x30;44.8;266;148;7.6;13;8;240;224;57;1.095;24.35;7115;534.9;602.7;11.14;21.86;703.4;95.06;146.1;3.5;4.2;26.28;112300
W10x26;38.5;262;147;6.6;11.2;8;240;224;49.1;1.085;28.04;6014;459.1;514.1;11.04;18.89;593.6;80.77;123.8;3.4;3.8;16.97;93240
W10x22;32.7;258;146;6.1;9.1;8;240;224;41.9;1.074;32.77;4894;379.4;424.8;10.82;17.19;472.6;64.73;99.48;3.3;3.3;9.935;73100
W10x19;28.4;260;102;6.4;10;8;240;224;36.3;0.901;31.61;4003;307.9;353.6;10.49;18.15;177.5;34.81;54.75;2.2;3.5;9.766;27630
W10x17;25.3;257;102;6.1;8.4;8;240;224;32.2;0.896;35.29;3429;266.9;307.4;10.29;17.06;149.1;29.24;46.19;2.1;3.2;6.6;22950
W10x15;22.3;254;102;5.8;6.9;8;240;224;28.5;0.89;39.7;2895;228;264;10.06;15.99;122.5;24.03;38.17;2;2.8;4.404;18620
W10x12;17.9;251;101;4.8;5.3;8;240;224;22.8;0.882;49.29;2248;179.1;207.3;9.93;13.19;91.34;18.08;28.64;2;2.4;2.283;13730
W8x67;100;229;210;14.5;23.7;10;181.1;161.1;127;1.251;12.57;11320;989.1;1148;9.451;35.37;3663;348.9;532.9;5.3;7.3;208.9;385400
W8x58;86;222;209;13;20.6;10;181.1;161.1;110;1.236;14.25;9469;853;980.9;9.258;31.16;3138;300.3;458.3;5.3;6.5;139.4;317800
W8x48;71;216;206;10.2;17.4;10;181.1;161.1;91;1.218;17.04;7659;709.2;803.1;9.172;24.6;2537;246.3;374.5;5.2;5.6;81.67;249900
W8x40;59;210;205;9.1;14.2;10;181.1;161.1;75;1.204;20.28;6111;582;652.6;8.99;21.52;2040;199;302.7;5.1;4.9;46.33;195400
W8x35;52;206;204;7.9;12.6;10;181.1;161.1;66.5;1.195;22.87;5269;511.6;569.2;8.897;18.66;1783;174.8;265.5;5.1;4.4;32.26;166700
W8x31;46.1;203;203;7.2;11;10;181.1;161.1;58.9;1.186;25.8;4543;447.5;495.2;8.808;16.88;1534;151.1;229.4;5.1;4;22.01;141300
W8x28;41.7;205;166;7.2;11.8;10;181.1;161.1;53.2;1.042;25;4085;398.5;445.2;8.771;17.13;900.4;108.4;165.4;4.1;4.2;22.23;83940
W8x24;35.9;201;165;6.2;10.2;10;181.1;161.1;45.7;1.032;28.75;3437;342;379.2;8.67;14.73;764.2;92.64;141;4;3.8;14.51;69500
W8x21;31.3;210;134;6.4;10.2;8;190;174;39.7;0.929;29.57;3141;299.1;335.7;8.859;14.97;409.6;61.13;93.79;3.1;3.6;12;40820
W8x18;26.6;207;133;5.8;8.4;8;190;174;33.9;0.92;34.54;2584;249.7;279.4;8.727;13.41;329.8;49.59;76.15;3.1;3.1;7.199;32470
W8x15;22.5;206;102;6.2;8;8;190;174;28.6;0.793;35.26;2002;194.4;222.6;8.359;14.11;142;27.84;43.71;2.2;3.1;5.733;13860
W8x13;19.3;203;102;5.8;6.5;8;190;174;24.8;0.788;40.42;1659;163.5;187.7;8.174;12.99;115.4;22.62;35.66;2.1;2.8;3.678;11090
W8x10;15;200;100;4.3;5.2;8;190;174;19.1;0.777;51.81;1278;127.8;145;8.179;9.758;86.88;17.37;27.09;2.1;2.4;1.796;8221
W6x25;37.1;162;154;8.1;11.6;6;138.9;126.9;47.4;0.913;24.59;2219;273.9;309.7;6.85;13.88;706.8;91.79;139.9;3.8;3.8;19.19;39930
W6x20;29.8;157;153;6.6;9.3;6;138.9;126.9;37.9;0.902;30.31;1714;218.3;243.8;6.724;11.17;555.5;72.62;110.5;3.8;3.2;10.01;30270
W6x15;22.5;152;152;5.8;6.6;6;138.9;126.9;28.6;0.89;39.88;1204;158.5;175.9;6.508;9.534;386.5;50.86;77.54;3.6;2.6;4.152;20410
W6x16;24;160;102;6.6;10.3;6;138.9;126.9;30.6;0.704;29.38;1342;167.8;191.4;6.63;11.43;182.5;35.79;55.24;2.4;3.4;9.232;10200
W6x12;18;153;102;5.8;7.1;6;138.9;126.9;22.9;0.692;38.59;914.9;119.6;135.6;6.328;9.623;125.8;24.67;38.23;2.3;2.7;3.692;6682
W6x9;13.5;150;100;4.3;5.5;6;138.9;126.9;17.3;0.681;50.18;685;91.34;102.3;6.295;7.183;91.8;18.36;28.25;2.3;2.2;1.678;4785
W5x19;28.1;131;128;6.9;10.9;8;109;93;35.9;0.746;26.4;1099;167.8;191;5.526;10.58;381.4;59.6;90.88;3.2;3.8;13.23;13730
W5x16;23.8;127;127;6.1;9.1;8;109;93;30.3;0.736;30.94;885.5;139.4;157.1;5.405;9.197;311;48.97;74.66;3.2;3.3;7.99;10790
W4x13;19.3;106;103;7.1;8.8;6;88.1;76.1;24.7;0.599;30.87;475.8;89.79;103.2;4.387;10.197;160.6;31.18;47.94;2.5;3.1;6.288;3785
HP18x204;304;464;460;28.6;28.6;30;406.8;346.8;387;2.659;8.748;143910;6203;7063;19.27;2.197;46510;2022;3125;10.9;12;1215;21980000
HP18x181;269;457;457;25.4;25.4;30;406.8;346.8;343;2.639;9.799;125400;5488;6209;19.11;3.197;40490;1772;2732;10.8;11.1;860.1;18810000
HP18x157;234;451;454;22.1;22.1;30;406.8;346.8;298;2.622;11.19;107750;4778;5369;19;4.197;34530;1521;2340;10.7;10.1;576.8;15850000
HP18x135;202;445;451;19.1;19.1;30;406.8;346.8;257;2.604;12.87;91880;4129;4610;18.88;5.197;29240;1297;1992;10.6;9.2;381.9;13240000
HP16x183;272;419;413;28.6;28.6;20;361.8;321.8;347;2.398;8.902;102530;4894;5607;17.28;6.197;33660;1630;2519;9.9;10.9;1020;12790000
HP16x162;242;413;410;25.4;25.4;20;361.8;321.8;308;2.38;9.982;89460;4332;4930;17.16;7.197;29230;1426;2199;9.8;9.9;716;10950000
HP16x141;211;406;406;22.2;22.2;20;361.8;321.8;269;2.357;11.37;76270;3757;4245;16.99;8.197;24800;1221;1879;9.6;9;478.7;9118000
HP16x121;181;400;403;19.1;19.1;20;361.8;321.8;230;2.339;13.15;64490;3224;3617;16.87;9.197;20860;1035;1588;9.5;8;307;7557000
HP16x101;151;394;400;15.9;15.9;20;361.8;321.8;192;2.321;15.7;52850;2683;2986;16.75;10.197;16970;848.8;1299;9.4;7.1;179.7;6061000
HP16x88;131;389;398;13.7;13.7;20;361.8;321.8;167;2.308;18.14;44880;2307;2554;16.64;11.197;14400;724;1105;9.4;6.4;116.9;5068000
HP14x117;174;361;378;20.4;20.4;20;320.6;280.6;222;2.158;12.32;51190;2836;3202;15.15;12.197;18390;973.2;1495;9;8.4;346.1;5325000
HP14x102;152;356;376;17.9;17.9;20;320.6;280.6;194;2.145;13.98;44230;2485;2787;15.04;13.197;15880;844.7;1295;9;7.7;235.9;4532000
HP14x89;132;351;373;15.6;15.6;20;320;280;168;2.128;15.97;37830;2155;2403;14.93;14.197;13500;724.3;1108;8.9;7;157.9;3794000
HP14x73;108;346;370;12.8;12.8;20;320;280;138;2.112;19.33;30640;1771;1960;14.83;15.197;10810;584.6;893;8.8;6.1;89.67;2999000
HP12x89;132;314;313;18.3;18.3;20;277.1;237.1;167.3;1.809;13.65;28940;1843;2091;13.09;16.197;9373;598.9;924.3;7.4;7.8;217;2044000
HP12x84;125;312;312;17.4;17.4;20;277.1;237.1;159;1.802;14.32;27290;1749;1979;13.05;17.197;8826;565.7;872.3;7.4;7.5;187.3;1911000
HP12x74;110;308;310;15.4;15.5;20;277.1;237.1;141;1.79;16.03;23910;1553;1746;12.96;18.197;7710;497.4;765.3;7.3;6.9;133.3;1646000
HP12x63;93;303;308;13.1;13.1;20;277.1;237.1;119;1.777;18.8;19890;1313;1466;12.85;19.197;6389;414.8;637;7.2;6.2;83.15;1340000
HP12x53;79;299;306;11;11;20;277.1;237.1;100;1.765;22.21;16530;1105;1226;12.77;20.197;5259;343.7;526.7;7.2;5.6;51.23;1089000
HP10x57;85;254;260;14.4;14.4;13;225;199;108;1.496;17.52;12300;968.8;1095;10.63;21.197;4225;325;499.8;6.2;5.8;83.18;605400
HP10x42;62;246;256;10.5;10.7;13;225;199;80;1.472;23.49;8753;711.6;792.8;10.47;22.197;2995;233.9;357.9;6.1;4.7;34.09;414100
HP8x36;53;204;207;11.3;11.3;10;181.1;161.1;68.4;1.196;22.35;4977;487.9;551.2;8.546;23.197;1673;161.6;248.5;4.9;4.5;31.94;155000
HP8x29;43;200;205;9;9;10;182;162;54.14;1.184;27.85;3887;388.7;434.5;8.473;24.197;1293;126.2;193.3;4.8;3.8;16.34;117800
