Referencia;Peso(Kg/m);d(mm);bf(mm);tw(mm);tf(mm);r(mm);dint(mm);T(mm);A(cm2);Apint(m2/m); Amasa(m2/t);Ixx(cm4);Sx(cm3);Zx(cm3);rx(cm);Av(cm2);Iyy(cm4);Sy(cm3);Zy(cm3);ry(cm);Ss(cm);J(cm4);Cw(cm6)
W1000x300x249;249;980;300;16.5;26;30;928.1;868.1;317;3.075;12.36;481070;9817;11340;38.9;180.7;11750;783.6;1244;6;10.3;581.9;26620000
W1000x300x222;222;970;300;16;21.1;30;928.1;868.1;282;3.056;13.77;407660;8405;9803;37.9;172.2;9545;636.3;1020;5.8;9.3;390;21370000
W920x420x1377;1377;1093;473;76.7;115.1;25;863.2;813.2;1754;3.882;2.816;3035400;55540;67740;41.5;812.9;206350;8725;14160;10.8;33.6;60450;485320000
W920x420x1269;1269;1093;461;64;115.1;25;863.2;813.2;1617;3.859;3.037;2901080;53080;64020;42.3;688.7;189900;8238;13130;10.8;32.3;52120;449320000
W920x420x1194;1194;1081;457;60.5;109;25;863.2;813.2;1522;3.826;3.199;2696760;49890;59910;42;647.9;175050;7660;12190;10.7;30.7;44110;409540000
W920x420x1077;1077;1061;451;55;99.1;25;863.2;813.2;1372;3.773;3.499;2379090;44840;53450;41.6;583.9;152760;6774;10740;10.5;28.2;33050;350470000
W920x420x970;970;1043;446;50;89.9;25;862.8;812.8;1237;3.727;3.832;2104260;40350;47750;41.2;526.8;133870;6003;9497;10.3;25.9;24680;301870000
W920x420x787;787;1011;437;40.9;73.9;25;862.8;812.8;1004;3.645;4.623;1649860;32630;38110;40.5;425.5;103310;4728;7431;10.1;21.7;13650;225650000
W920x420x725;725;999;434;38.1;68.1;25;862.8;812.8;924;3.615;4.977;1496530;29960;34830;40.2;394;93210;4295;6739;10;20.3;10750;201000000
W920x420x656;656;987;431;34.5;62;25;862.8;812.8;837;3.586;5.454;1339430;27140;31360;39.9;355.4;83050;3854;6027;9.9;18.7;8098;176960000
W920x420x588;588;975;427;31;55.9;25;862.8;812.8;750;3.553;6.032;1185310;24310;27940;39.7;318.2;72770;3408;5314;9.8;17.2;5923;153180000
W920x420x537;537;965;425;28.4;51.1;25;862.8;812.8;685;3.53;6.567;1069610;22160;25360;39.5;290.4;65560;3085;4799;9.7;15.9;4542;136510000
W920x420x491;491;957;422;25.9;47;25;862.8;812.8;626;3.507;7.142;970410;20280;23090;39.3;264.5;59010;2796;4339;9.7;14.9;3520;121870000
W920x420x449;449;948;423;24;42.7;25;862.8;812.8;576;3.497;7.766;878790;18540;21040;39.1;243.9;53980;2552;3953;9.7;13.8;2692;110360000
W920x420x420;420;943;422;22.5;39.9;25;862.8;812.8;535;3.486;8.28;817410;17330;19620;39;228.5;50070;2373;3671;9.6;13.1;2208;101890000
W920x420x390;390;936;420;21.3;36.6;25;862.8;812.8;497;3.466;8.891;745810;15930;18010;38.7;215.2;45270;2156;3334;9.5;12.3;1741;91390000
W920x420x368;368;931;419;20.3;34.3;25;862.8;812.8;468;3.454;9.404;696290;14950;16880;38.5;204.5;42120;2010;3108;9.4;11.8;1452;84530000
W920x420x344;344;927;418;19.3;32;25;862.8;812.8;439;3.444;9.984;649060;14000;15790;38.4;194.1;39010;1866;2884;9.4;11.2;1198;78000000
W920x310x576;576;993;322;36.1;65;25;862.8;812.8;733.2;3.159;5.471;1105790;22270;26370;38.7;372.8;36530;2269;3663;7;19.5;7292;77860000
W920x310x521;521;981;319;33;58.9;25;862.8;812.8;663.7;3.129;5.985;986480;20110;23700;38.4;339.1;32150;2015;3243;6.9;18;5470;67730000
W920x310x474;474;971;316;30;54.1;25;862.8;812.8;603.9;3.103;6.522;889750;18320;21480;38.3;307.4;28660;1814;2906;6.8;16.7;4210;59790000
W920x310x425;425;961;313;26.9;49;25;862.8;812.8;542;3.077;7.202;792250;16480;19220;38.1;275.1;25200;1610;2566;6.8;15.4;3113;52070000
W920x310x381;381;951;310;24.4;43.9;25;862.8;812.8;486;3.05;7.959;700850;14730;17110;37.8;248.6;21910;1414;2247;6.6;14.1;2265;44830000
